size
"2",,"","","","","arm-none-eabi-gcc (GCC) 7.2.0"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,huffman,1304
bzip2-1.0.2,decompress,9775
bzip2-1.0.2,bzip2recover,3769
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,8679
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,11387
bzip2-1.0.2,blocksort,6871
bzip2-1.0.2,bzip2,18445
cg_compiler_opensrc,support,26363
cg_compiler_opensrc,cgcmain,2527
cg_compiler_opensrc,constfold,4788
cg_compiler_opensrc,support_iter,2378
cg_compiler_opensrc,symbols,7129
cg_compiler_opensrc,printutils,11011
cg_compiler_opensrc,atom,3716
cg_compiler_opensrc,cpp,7298
cg_compiler_opensrc,compile,14490
cg_compiler_opensrc,cgstruct,136
cg_compiler_opensrc,tokens,3221
cg_compiler_opensrc,binding,1715
cg_compiler_opensrc,hal,2991
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,3709
cg_compiler_opensrc,generic_hal,2607
cg_compiler_opensrc,memory,632
cg_compiler_opensrc,tokenize,678
cg_compiler_opensrc,scanner,6775
cg_compiler_opensrc,parser,16127
cg_compiler_opensrc,semantic,4818
cg_compiler_opensrc,inline,3002
compiler,cg,3027
compiler,vam,4307
compiler,vas,6630
compiler,scanner,3639
compiler,parser,4836
compiler,main,2698
flex-2.5.31,regex,631
flex-2.5.31,yylex,1180
flex-2.5.31,skel,94034
flex-2.5.31,filter,2425
flex-2.5.31,scanopt,3810
flex-2.5.31,ccl,1192
flex-2.5.31,parse,9402
flex-2.5.31,nfa,4052
flex-2.5.31,misc,6146
flex-2.5.31,scan,46112
flex-2.5.31,dfa,7622
flex-2.5.31,tblcmp,3852
flex-2.5.31,tables,2229
flex-2.5.31,buf,1127
flex-2.5.31,ecs,560
flex-2.5.31,sym,987
flex-2.5.31,libmain,20
flex-2.5.31,tables_shared,36
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,8
flex-2.5.31,main,20306
flex-2.5.31,gen,24462
jikespg-1.3,src/mkstates,3270
jikespg-1.3,src/prntstat,3700
jikespg-1.3,src/resolve,13336
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,49484
jikespg-1.3,src/produce,12029
jikespg-1.3,src/mkred,7452
jikespg-1.3,src/ptables,3647
