size
"2",,"","","","","arm-none-eabi-gcc (GCC) 6.3.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
bzip2-1.0.2,compress,6471
bzip2-1.0.2,huffman,916
bzip2-1.0.2,blocksort,5075
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,decompress,6987
bzip2-1.0.2,bzip2,14233
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzip2recover,2849
bzip2-1.0.2,bzlib,8459
cg_compiler_opensrc,cpp,4946
cg_compiler_opensrc,parser,13515
cg_compiler_opensrc,atom,2836
cg_compiler_opensrc,constfold,3416
cg_compiler_opensrc,printutils,7823
cg_compiler_opensrc,cgstruct,92
cg_compiler_opensrc,binding,1039
cg_compiler_opensrc,symbols,4869
cg_compiler_opensrc,compile,9618
cg_compiler_opensrc,memory,352
cg_compiler_opensrc,tokenize,550
cg_compiler_opensrc,inline,2118
cg_compiler_opensrc,semantic,3454
cg_compiler_opensrc,scanner,4551
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,support,18627
cg_compiler_opensrc,check,2577
cg_compiler_opensrc,tokens,2221
cg_compiler_opensrc,cgcmain,1959
cg_compiler_opensrc,support_iter,1458
cg_compiler_opensrc,hal,1943
cg_compiler_opensrc,generic_hal,2131
compiler,main,1890
compiler,parser,3752
compiler,scanner,2815
compiler,cg,2003
compiler,vam,3269
compiler,vas,5662
flex-2.5.31,parse,7062
flex-2.5.31,skel,94034
flex-2.5.31,tables,1509
flex-2.5.31,libmain,12
flex-2.5.31,regex,419
flex-2.5.31,main,15818
flex-2.5.31,ecs,392
flex-2.5.31,scan,37968
flex-2.5.31,tblcmp,2572
flex-2.5.31,sym,715
flex-2.5.31,ccl,732
flex-2.5.31,yylex,764
flex-2.5.31,nfa,2848
flex-2.5.31,filter,1749
flex-2.5.31,buf,715
flex-2.5.31,gen,20130
flex-2.5.31,tables_shared,22
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,dfa,5266
flex-2.5.31,scanopt,2510
flex-2.5.31,misc,4306
