size
"2",,"","","","","arm-none-eabi-gcc (GCC) 6.3.0"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,compress,8959
bzip2-1.0.2,huffman,1492
bzip2-1.0.2,blocksort,6891
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,decompress,9847
bzip2-1.0.2,bzip2,18477
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzip2recover,3749
bzip2-1.0.2,bzlib,11407
cg_compiler_opensrc,cpp,7366
cg_compiler_opensrc,parser,16283
cg_compiler_opensrc,atom,3712
cg_compiler_opensrc,constfold,4780
cg_compiler_opensrc,printutils,11027
cg_compiler_opensrc,cgstruct,140
cg_compiler_opensrc,binding,1727
cg_compiler_opensrc,symbols,7165
cg_compiler_opensrc,compile,14510
cg_compiler_opensrc,memory,624
cg_compiler_opensrc,tokenize,678
cg_compiler_opensrc,inline,3018
cg_compiler_opensrc,semantic,4838
cg_compiler_opensrc,scanner,6799
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,support,26391
cg_compiler_opensrc,check,3733
cg_compiler_opensrc,tokens,3257
cg_compiler_opensrc,cgcmain,2535
cg_compiler_opensrc,support_iter,2374
cg_compiler_opensrc,hal,3011
cg_compiler_opensrc,generic_hal,2619
compiler,main,2710
compiler,parser,4848
compiler,scanner,3695
compiler,cg,3031
compiler,vam,4307
compiler,vas,6626
flex-2.5.31,parse,9334
flex-2.5.31,skel,94034
flex-2.5.31,tables,2245
flex-2.5.31,libmain,20
flex-2.5.31,regex,631
flex-2.5.31,main,20374
flex-2.5.31,ecs,576
flex-2.5.31,scan,46004
flex-2.5.31,tblcmp,3864
flex-2.5.31,sym,995
flex-2.5.31,ccl,1204
flex-2.5.31,yylex,1248
flex-2.5.31,nfa,4048
flex-2.5.31,filter,2413
flex-2.5.31,buf,1115
flex-2.5.31,gen,24482
flex-2.5.31,tables_shared,36
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,8
flex-2.5.31,dfa,7610
flex-2.5.31,scanopt,3854
flex-2.5.31,misc,6166
jikespg-1.3,src/ctabs,49580
jikespg-1.3,src/main,6287
jikespg-1.3,src/mkfirst,15848
jikespg-1.3,src/mkstates,3266
jikespg-1.3,src/spacetab,21808
jikespg-1.3,src/partset,1768
jikespg-1.3,src/tabutil,14466
jikespg-1.3,src/prntstat,3640
jikespg-1.3,src/lpgparse,48741
jikespg-1.3,src/timetab,10596
jikespg-1.3,src/remsp,8526
jikespg-1.3,src/globals,264
jikespg-1.3,src/resolve,13432
jikespg-1.3,src/mkred,7468
jikespg-1.3,src/produce,11973
jikespg-1.3,src/ptables,3687
jikespg-1.3,src/lpgutil,5263
jpeg-6b,wrjpgcom,3791
jpeg-6b,jcdctmgr,1620
jpeg-6b,jddctmgr,932
jpeg-6b,jerror,5634
jpeg-6b,jdmainct,1832
jpeg-6b,jidctfst,1008
jpeg-6b,jfdctfst,528
jpeg-6b,jfdctint,768
jpeg-6b,jidctint,1424
jpeg-6b,jdmarker,7348
jpeg-6b,rdgif,93
jpeg-6b,jctrans,1636
jpeg-6b,djpeg,6599
jpeg-6b,jdapistd,1196
jpeg-6b,wrrle,0
jpeg-6b,jdtrans,436
jpeg-6b,jccolor,1676
jpeg-6b,cjpeg,6069
jpeg-6b,wrgif,2900
jpeg-6b,jcparam,3592
jpeg-6b,jchuff,4096
jpeg-6b,jdcolor,1412
jpeg-6b,jcomapi,184
jpeg-6b,jdphuff,3396
jpeg-6b,jccoefct,2140
jpeg-6b,jcapimin,996
jpeg-6b,rdcolmap,1744
jpeg-6b,jdpostct,1028
jpeg-6b,transupp,5360
jpeg-6b,jdhuff,3100
