size
"2",,"","","","","arm-none-eabi-gcc (GCC) 11.1.0"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,huffman,1504
bzip2-1.0.2,decompress,9727
bzip2-1.0.2,bzip2recover,3781
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,8627
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,11343
bzip2-1.0.2,blocksort,6687
bzip2-1.0.2,bzip2,17761
cg_compiler_opensrc,support,26303
cg_compiler_opensrc,cgcmain,2539
cg_compiler_opensrc,constfold,4700
cg_compiler_opensrc,support_iter,2362
cg_compiler_opensrc,symbols,7125
cg_compiler_opensrc,printutils,11039
cg_compiler_opensrc,atom,3688
cg_compiler_opensrc,cpp,7314
cg_compiler_opensrc,compile,14430
cg_compiler_opensrc,cgstruct,124
cg_compiler_opensrc,tokens,3197
cg_compiler_opensrc,binding,1719
cg_compiler_opensrc,hal,2959
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,3673
cg_compiler_opensrc,generic_hal,2611
cg_compiler_opensrc,memory,580
cg_compiler_opensrc,tokenize,678
cg_compiler_opensrc,scanner,6719
cg_compiler_opensrc,parser,16059
cg_compiler_opensrc,semantic,4838
cg_compiler_opensrc,inline,3010
compiler,cg,2999
compiler,vam,4119
compiler,vas,6478
compiler,scanner,3571
compiler,parser,4792
compiler,main,2642
flex-2.5.31,regex,631
flex-2.5.31,yylex,1164
flex-2.5.31,skel,94034
flex-2.5.31,filter,2397
flex-2.5.31,scanopt,3766
flex-2.5.31,ccl,1180
flex-2.5.31,parse,9002
flex-2.5.31,nfa,3996
flex-2.5.31,misc,6122
flex-2.5.31,scan,44584
flex-2.5.31,dfa,7682
flex-2.5.31,tblcmp,3788
flex-2.5.31,tables,2225
flex-2.5.31,buf,1087
flex-2.5.31,ecs,564
flex-2.5.31,sym,1031
flex-2.5.31,libmain,20
flex-2.5.31,tables_shared,36
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,8
flex-2.5.31,main,18158
flex-2.5.31,gen,24082
jikespg-1.3,src/mkstates,3270
jikespg-1.3,src/prntstat,3652
jikespg-1.3,src/resolve,13296
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,49224
jikespg-1.3,src/produce,11781
jikespg-1.3,src/mkred,7356
jikespg-1.3,src/ptables,3583
jikespg-1.3,src/lpgparse,48245
jikespg-1.3,src/lpgutil,5131
jikespg-1.3,src/spacetab,21528
jikespg-1.3,src/remsp,8366
jikespg-1.3,src/partset,1820
jikespg-1.3,src/mkfirst,15396
jikespg-1.3,src/main,6243
jikespg-1.3,src/tabutil,14230
jikespg-1.3,src/timetab,10316
jpeg-6b,jcmainct,480
jpeg-6b,wrtarga,1168
jpeg-6b,jdmainct,1748
jpeg-6b,jdsample,1816
jpeg-6b,jdmaster,2160
jpeg-6b,jdpostct,1036
jpeg-6b,jquant1,3236
jpeg-6b,wrbmp,3128
jpeg-6b,djpeg,6575
jpeg-6b,jcinit,224
jpeg-6b,rdjpgcom,2595
jpeg-6b,rdgif,93
jpeg-6b,jfdctint,772
jpeg-6b,wrppm,758
jpeg-6b,wrjpgcom,3719
jpeg-6b,jcapistd,644
jpeg-6b,jchuff,3944
jpeg-6b,jdcolor,1392
jpeg-6b,jpegtran,4144
jpeg-6b,jcparam,3620
jpeg-6b,jdmerge,1632
jpeg-6b,jddctmgr,912
jpeg-6b,ansi2knr,3044
jpeg-6b,jfdctfst,520
jpeg-6b,jccolor,1712
jpeg-6b,jdphuff,3364
jpeg-6b,jmemmgr,3806
jpeg-6b,jfdctflt,1160
jpeg-6b,wrrle,0
jpeg-6b,jidctfst,896
jpeg-6b,jcmaster,3184
jpeg-6b,jdatadst,356
jpeg-6b,jutils,448
jpeg-6b,rdswitch,2352
jpeg-6b,jcprepct,1536
jpeg-6b,rdcolmap,1756
jpeg-6b,jcdctmgr,1648
jpeg-6b,jdapimin,1352
jpeg-6b,jcomapi,184
jpeg-6b,rdbmp,2464
jpeg-6b,jdcoefct,3852
jpeg-6b,jerror,5630
jpeg-6b,jidctred,1248
jpeg-6b,jidctint,1224
jpeg-6b,cjpeg,6065
jpeg-6b,rdppm,2164
jpeg-6b,jquant2,4868
jpeg-6b,jdapistd,1192
jpeg-6b,cdjpeg,144
jpeg-6b,transupp,5376
jpeg-6b,rdtarga,2204
jpeg-6b,wrgif,2884
jpeg-6b,jdhuff,3004
jpeg-6b,jctrans,1652
jpeg-6b,jdmarker,7392
jpeg-6b,jcmarker,2240
jpeg-6b,jccoefct,2104
jpeg-6b,jcsample,2300
jpeg-6b,jcapimin,988
jpeg-6b,jmemnobs,72
jpeg-6b,jidctflt,1616
jpeg-6b,jdtrans,436
jpeg-6b,jdatasrc,416
jpeg-6b,jdinput,1524
jpeg-6b,jcphuff,3320
jpeg-6b,rdrle,0
libmspack,test/md5,3600
libmspack,test/cabd_md5,1345
