size
"2",,"","","","","arm-none-eabi-gcc (GCC) 13.1.0"
"","-Os -std=gnu89 -mcpu=cortex-m3"
bzip2-1.0.2,huffman,884
bzip2-1.0.2,decompress,6283
bzip2-1.0.2,bzip2recover,2817
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,5991
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,7815
bzip2-1.0.2,blocksort,4611
bzip2-1.0.2,bzip2,13941
cg_compiler_opensrc,support,17875
cg_compiler_opensrc,cgcmain,1887
cg_compiler_opensrc,constfold,3380
cg_compiler_opensrc,support_iter,1466
cg_compiler_opensrc,symbols,4869
cg_compiler_opensrc,printutils,7987
cg_compiler_opensrc,atom,2836
cg_compiler_opensrc,cpp,4898
cg_compiler_opensrc,compile,9402
cg_compiler_opensrc,cgstruct,72
cg_compiler_opensrc,tokens,2221
cg_compiler_opensrc,binding,1115
cg_compiler_opensrc,hal,1883
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2517
cg_compiler_opensrc,generic_hal,2099
cg_compiler_opensrc,memory,356
cg_compiler_opensrc,tokenize,546
cg_compiler_opensrc,scanner,4555
cg_compiler_opensrc,parser,13775
cg_compiler_opensrc,semantic,3410
cg_compiler_opensrc,inline,2102
compiler,cg,2063
compiler,vam,3073
compiler,vas,5502
compiler,scanner,2751
compiler,parser,3620
compiler,main,1858
flex-2.5.31,regex,411
flex-2.5.31,yylex,780
flex-2.5.31,skel,94034
flex-2.5.31,filter,1725
flex-2.5.31,scanopt,2446
flex-2.5.31,ccl,772
flex-2.5.31,parse,6906
flex-2.5.31,nfa,2936
flex-2.5.31,misc,4310
flex-2.5.31,scan,36416
flex-2.5.31,dfa,5306
flex-2.5.31,tblcmp,2552
flex-2.5.31,tables,1501
flex-2.5.31,buf,707
flex-2.5.31,ecs,408
flex-2.5.31,sym,683
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,20
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,14234
flex-2.5.31,gen,20142
jikespg-1.3,src/mkstates,2194
jikespg-1.3,src/prntstat,2576
jikespg-1.3,src/resolve,8868
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41616
jikespg-1.3,src/produce,7901
jikespg-1.3,src/mkred,5200
jikespg-1.3,src/ptables,2563
jikespg-1.3,src/lpgparse,35849
jikespg-1.3,src/lpgutil,3423
jikespg-1.3,src/spacetab,15084
jikespg-1.3,src/remsp,5602
jikespg-1.3,src/partset,1200
jikespg-1.3,src/mkfirst,10736
jikespg-1.3,src/main,4951
jikespg-1.3,src/tabutil,9966
jikespg-1.3,src/timetab,7292
jpeg-6b,jcmainct,284
jpeg-6b,wrtarga,692
jpeg-6b,jdmainct,1116
jpeg-6b,jdsample,1204
jpeg-6b,jdmaster,1272
jpeg-6b,jdpostct,600
jpeg-6b,jquant1,2112
jpeg-6b,wrbmp,1828
jpeg-6b,djpeg,5315
jpeg-6b,jcinit,144
jpeg-6b,rdjpgcom,1979
jpeg-6b,rdgif,81
jpeg-6b,jfdctint,564
jpeg-6b,wrppm,474
jpeg-6b,wrjpgcom,2719
jpeg-6b,jcapistd,362
jpeg-6b,jchuff,2464
jpeg-6b,jdcolor,932
jpeg-6b,jpegtran,3240
jpeg-6b,jcparam,2500
jpeg-6b,jdmerge,1116
jpeg-6b,jddctmgr,652
jpeg-6b,ansi2knr,2004
jpeg-6b,jfdctfst,398
jpeg-6b,jccolor,1160
jpeg-6b,jdphuff,2184
jpeg-6b,jmemmgr,2286
jpeg-6b,jfdctflt,788
jpeg-6b,wrrle,0
jpeg-6b,jidctfst,662
jpeg-6b,jcmaster,1956
jpeg-6b,jdatadst,204
jpeg-6b,jutils,402
jpeg-6b,rdswitch,1552
jpeg-6b,jcprepct,956
jpeg-6b,rdcolmap,1076
jpeg-6b,jcdctmgr,1160
jpeg-6b,jdapimin,752
jpeg-6b,jcomapi,98
jpeg-6b,rdbmp,1292
jpeg-6b,jdcoefct,2404
jpeg-6b,jerror,5390
jpeg-6b,jidctred,884
jpeg-6b,jidctint,848
jpeg-6b,cjpeg,4937
jpeg-6b,rdppm,1272
jpeg-6b,jquant2,3064
jpeg-6b,jdapistd,668
jpeg-6b,cdjpeg,84
jpeg-6b,transupp,3362
