size
"2",,"","","","","arm-none-eabi-gcc (GCC) 4.8.5"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,compress,9139
bzip2-1.0.2,huffman,1596
bzip2-1.0.2,blocksort,7055
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,decompress,10711
bzip2-1.0.2,bzip2,18833
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzip2recover,3913
bzip2-1.0.2,bzlib,11875
cg_compiler_opensrc,cpp,7490
cg_compiler_opensrc,parser,16215
cg_compiler_opensrc,atom,3688
cg_compiler_opensrc,constfold,4752
cg_compiler_opensrc,printutils,10939
cg_compiler_opensrc,cgstruct,152
cg_compiler_opensrc,binding,1739
cg_compiler_opensrc,symbols,7153
cg_compiler_opensrc,compile,14614
cg_compiler_opensrc,memory,596
cg_compiler_opensrc,tokenize,678
cg_compiler_opensrc,inline,3046
cg_compiler_opensrc,semantic,4858
cg_compiler_opensrc,scanner,6939
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,support,26591
cg_compiler_opensrc,check,3757
cg_compiler_opensrc,tokens,3257
cg_compiler_opensrc,cgcmain,2531
cg_compiler_opensrc,support_iter,2406
cg_compiler_opensrc,hal,3007
cg_compiler_opensrc,generic_hal,2623
compiler,main,2646
compiler,parser,4900
compiler,scanner,3763
compiler,cg,3043
compiler,vam,4252
compiler,vas,6854
flex-2.5.31,parse,9566
flex-2.5.31,skel,94034
flex-2.5.31,tables,2269
flex-2.5.31,libmain,20
flex-2.5.31,regex,659
flex-2.5.31,main,21938
flex-2.5.31,ecs,632
flex-2.5.31,scan,46156
flex-2.5.31,tblcmp,3968
flex-2.5.31,sym,987
flex-2.5.31,ccl,1400
flex-2.5.31,yylex,1376
flex-2.5.31,nfa,4064
flex-2.5.31,filter,2397
flex-2.5.31,buf,1095
flex-2.5.31,gen,24838
flex-2.5.31,tables_shared,36
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,8
flex-2.5.31,dfa,8218
flex-2.5.31,scanopt,3914
flex-2.5.31,misc,6338
jikespg-1.3,src/ctabs,50384
jikespg-1.3,src/main,6455
jikespg-1.3,src/mkfirst,15892
jikespg-1.3,src/mkstates,3238
jikespg-1.3,src/spacetab,22512
jikespg-1.3,src/partset,1784
jikespg-1.3,src/tabutil,14810
jikespg-1.3,src/prntstat,3716
jikespg-1.3,src/lpgparse,49533
jikespg-1.3,src/timetab,10760
jikespg-1.3,src/remsp,8502
jikespg-1.3,src/globals,268
jikespg-1.3,src/resolve,13388
jikespg-1.3,src/mkred,7480
jikespg-1.3,src/produce,12397
jikespg-1.3,src/ptables,3639
jikespg-1.3,src/lpgutil,5343
jpeg-6b,wrjpgcom,4043
jpeg-6b,jcdctmgr,1592
jpeg-6b,jddctmgr,920
jpeg-6b,jerror,5650
jpeg-6b,jdmainct,1888
jpeg-6b,jidctfst,1092
jpeg-6b,jfdctfst,532
jpeg-6b,jfdctint,724
jpeg-6b,jidctint,1368
jpeg-6b,jdmarker,7688
jpeg-6b,rdgif,93
jpeg-6b,jctrans,1636
jpeg-6b,djpeg,6675
jpeg-6b,jdapistd,1208
jpeg-6b,wrrle,0
jpeg-6b,jdtrans,440
jpeg-6b,jccolor,1716
jpeg-6b,cjpeg,6093
jpeg-6b,wrgif,4160
jpeg-6b,jcparam,3644
jpeg-6b,jchuff,3972
jpeg-6b,jdcolor,1416
jpeg-6b,jcomapi,184
jpeg-6b,jdphuff,3528
jpeg-6b,jccoefct,2144
jpeg-6b,jcapimin,1040
jpeg-6b,rdcolmap,1708
jpeg-6b,jdpostct,1028
jpeg-6b,transupp,5560
jpeg-6b,jdhuff,3184
jpeg-6b,wrtarga,1304
jpeg-6b,jcsample,2476
jpeg-6b,jdatasrc,416
jpeg-6b,jcmainct,488
jpeg-6b,wrbmp,3740
jpeg-6b,rdbmp,2504
jpeg-6b,jcinit,224
