size
"2",,"","","","","arm-none-eabi-gcc (GCC) 9.2.0"
"","-Os -std=gnu89 -mthumb -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,huffman,916
bzip2-1.0.2,decompress,6975
bzip2-1.0.2,bzip2recover,2825
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,6451
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,8531
bzip2-1.0.2,blocksort,4991
bzip2-1.0.2,bzip2,14225
cg_compiler_opensrc,support,18623
cg_compiler_opensrc,cgcmain,1955
cg_compiler_opensrc,constfold,3348
cg_compiler_opensrc,support_iter,1454
cg_compiler_opensrc,symbols,4821
cg_compiler_opensrc,printutils,7843
cg_compiler_opensrc,atom,2828
cg_compiler_opensrc,cpp,4914
cg_compiler_opensrc,compile,9598
cg_compiler_opensrc,cgstruct,84
cg_compiler_opensrc,tokens,2245
cg_compiler_opensrc,binding,1079
cg_compiler_opensrc,hal,1955
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2577
cg_compiler_opensrc,generic_hal,2123
cg_compiler_opensrc,memory,352
cg_compiler_opensrc,tokenize,550
cg_compiler_opensrc,scanner,4519
cg_compiler_opensrc,parser,13463
cg_compiler_opensrc,semantic,3502
cg_compiler_opensrc,inline,2110
compiler,cg,2027
compiler,vam,3225
compiler,vas,5618
compiler,scanner,2755
compiler,parser,3715
compiler,main,1890
flex-2.5.31,regex,419
flex-2.5.31,yylex,728
flex-2.5.31,skel,94034
flex-2.5.31,filter,1737
flex-2.5.31,scanopt,2498
flex-2.5.31,ccl,728
flex-2.5.31,parse,7049
flex-2.5.31,nfa,2880
flex-2.5.31,misc,4254
flex-2.5.31,scan,37646
flex-2.5.31,dfa,5242
flex-2.5.31,tblcmp,2596
flex-2.5.31,tables,1501
flex-2.5.31,buf,711
flex-2.5.31,ecs,388
flex-2.5.31,sym,691
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,22
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,15762
flex-2.5.31,gen,20046
jikespg-1.3,src/mkstates,2198
jikespg-1.3,src/prntstat,2532
jikespg-1.3,src/resolve,9052
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41472
jikespg-1.3,src/produce,8257
jikespg-1.3,src/mkred,5308
jikespg-1.3,src/ptables,2551
jikespg-1.3,src/lpgparse,36261
jikespg-1.3,src/lpgutil,3399
jikespg-1.3,src/spacetab,15108
jikespg-1.3,src/remsp,5882
jikespg-1.3,src/partset,1288
jikespg-1.3,src/mkfirst,11116
jikespg-1.3,src/main,5235
jikespg-1.3,src/tabutil,9766
jikespg-1.3,src/timetab,7428
jpeg-6b,jcmainct,304
jpeg-6b,wrtarga,708
jpeg-6b,jdmainct,1244
jpeg-6b,jdsample,1276
