time
"2",,"","","","","arm-none-eabi-gcc (GCC) 10.2.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
bzip2-1.0.2,bzip2,0.29,0.30,0.31
bzip2-1.0.2,compress,0.34,0.35,0.36
bzip2-1.0.2,bzip2recover,0.18,0.38,0.39
bzip2-1.0.2,crctable,0.01,0.01,0.02
bzip2-1.0.2,bzlib,0.30,0.31,0.32
bzip2-1.0.2,huffman,0.05,0.07,0.07
bzip2-1.0.2,blocksort,0.25,0.27,0.27
bzip2-1.0.2,decompress,0.38,0.38,0.39
bzip2-1.0.2,randtable,0.00,0.01,0.01
cg_compiler_opensrc,support,0.49,0.49,0.52
cg_compiler_opensrc,hal,0.08,0.09,0.09
cg_compiler_opensrc,tokens,0.08,0.09,0.09
cg_compiler_opensrc,atom,0.09,0.10,0.10
cg_compiler_opensrc,scanner,0.17,0.17,0.18
cg_compiler_opensrc,cgcmain,0.05,0.05,0.05
cg_compiler_opensrc,binding,0.05,0.06,0.06
cg_compiler_opensrc,parser,0.18,0.18,0.18
cg_compiler_opensrc,inline,0.07,0.07,0.07
cg_compiler_opensrc,symbols,0.19,0.19,0.19
cg_compiler_opensrc,generic_hal,0.06,0.06,0.07
cg_compiler_opensrc,cgstruct,0.02,0.02,0.02
cg_compiler_opensrc,compile,0.33,0.33,0.34
cg_compiler_opensrc,stdlib,0.01,0.02,0.03
cg_compiler_opensrc,tokenize,0.02,0.02,0.03
cg_compiler_opensrc,semantic,0.10,0.10,0.10
cg_compiler_opensrc,cpp,0.19,0.20,0.21
cg_compiler_opensrc,memory,0.03,0.03,0.04
cg_compiler_opensrc,check,0.07,0.09,0.09
cg_compiler_opensrc,printutils,0.20,0.20,0.20
cg_compiler_opensrc,support_iter,0.05,0.06,0.06
cg_compiler_opensrc,constfold,0.12,0.13,0.13
compiler,scanner,0.08,0.09,0.09
compiler,parser,0.09,0.10,0.11
compiler,vam,0.08,0.09,0.10
compiler,main,0.06,0.07,0.07
compiler,cg,0.08,0.08,0.09
compiler,vas,0.10,0.10,0.12
flex-2.5.31,ccl,0.04,0.05,0.05
flex-2.5.31,filter,0.06,0.06,0.06
