size
"2",,"","","","","arm-none-eabi-gcc (GCC) 10.2.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
bzip2-1.0.2,huffman,900
bzip2-1.0.2,decompress,6851
bzip2-1.0.2,bzip2recover,2805
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,6391
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,8447
bzip2-1.0.2,blocksort,4955
bzip2-1.0.2,bzip2,13741
cg_compiler_opensrc,support,18571
cg_compiler_opensrc,cgcmain,1955
cg_compiler_opensrc,constfold,3340
cg_compiler_opensrc,support_iter,1454
cg_compiler_opensrc,symbols,4813
cg_compiler_opensrc,printutils,7815
cg_compiler_opensrc,atom,2816
cg_compiler_opensrc,cpp,4934
cg_compiler_opensrc,compile,9582
cg_compiler_opensrc,cgstruct,76
cg_compiler_opensrc,tokens,2229
cg_compiler_opensrc,binding,1079
cg_compiler_opensrc,hal,1955
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2565
cg_compiler_opensrc,generic_hal,2123
cg_compiler_opensrc,memory,350
cg_compiler_opensrc,tokenize,550
cg_compiler_opensrc,scanner,4511
cg_compiler_opensrc,parser,13443
cg_compiler_opensrc,semantic,3498
cg_compiler_opensrc,inline,2110
compiler,cg,2007
compiler,vam,3093
compiler,vas,5574
compiler,scanner,2735
compiler,parser,3695
compiler,main,1850
flex-2.5.31,regex,419
flex-2.5.31,yylex,728
flex-2.5.31,skel,94034
flex-2.5.31,filter,1737
flex-2.5.31,scanopt,2450
flex-2.5.31,ccl,728
flex-2.5.31,parse,6773
flex-2.5.31,nfa,2840
flex-2.5.31,misc,4266
flex-2.5.31,scan,36682
flex-2.5.31,dfa,5278
flex-2.5.31,tblcmp,2588
flex-2.5.31,tables,1493
flex-2.5.31,buf,711
flex-2.5.31,ecs,388
flex-2.5.31,sym,691
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,22
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,14218
flex-2.5.31,gen,20030
jikespg-1.3,src/mkstates,2202
jikespg-1.3,src/prntstat,2536
jikespg-1.3,src/resolve,9004
jikespg-1.3,src/globals,264
