size
"2",,"","","","","arm-none-eabi-gcc (GCC) 8.1.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
bzip2-1.0.2,huffman,908
bzip2-1.0.2,decompress,6867
bzip2-1.0.2,bzip2recover,2817
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,6467
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,8431
bzip2-1.0.2,blocksort,5003
bzip2-1.0.2,bzip2,14213
cg_compiler_opensrc,support,18547
cg_compiler_opensrc,cgcmain,1955
cg_compiler_opensrc,constfold,3348
cg_compiler_opensrc,support_iter,1458
cg_compiler_opensrc,symbols,4773
cg_compiler_opensrc,printutils,7839
cg_compiler_opensrc,atom,2812
cg_compiler_opensrc,cpp,4886
cg_compiler_opensrc,compile,9590
cg_compiler_opensrc,cgstruct,84
cg_compiler_opensrc,tokens,2229
cg_compiler_opensrc,binding,1047
cg_compiler_opensrc,hal,1943
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2573
cg_compiler_opensrc,generic_hal,2119
cg_compiler_opensrc,memory,344
cg_compiler_opensrc,tokenize,550
cg_compiler_opensrc,scanner,4531
cg_compiler_opensrc,parser,13463
cg_compiler_opensrc,semantic,3470
cg_compiler_opensrc,inline,2118
compiler,cg,2027
compiler,vam,3225
compiler,vas,5618
compiler,scanner,2755
compiler,parser,3719
compiler,main,1894
flex-2.5.31,regex,419
flex-2.5.31,yylex,744
flex-2.5.31,skel,94034
flex-2.5.31,filter,1749
flex-2.5.31,scanopt,2474
flex-2.5.31,ccl,728
flex-2.5.31,parse,7049
flex-2.5.31,nfa,2836
flex-2.5.31,misc,4278
flex-2.5.31,scan,37642
flex-2.5.31,dfa,5186
flex-2.5.31,tblcmp,2572
flex-2.5.31,tables,1509
flex-2.5.31,buf,715
flex-2.5.31,ecs,388
flex-2.5.31,sym,691
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,22
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,15746
flex-2.5.31,gen,20022
jikespg-1.3,src/mkstates,2222
jikespg-1.3,src/prntstat,2496
jikespg-1.3,src/resolve,8976
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41468
jikespg-1.3,src/produce,8089
jikespg-1.3,src/mkred,5264
jikespg-1.3,src/ptables,2551
jikespg-1.3,src/lpgparse,36017
jikespg-1.3,src/lpgutil,3375
jikespg-1.3,src/spacetab,15020
jikespg-1.3,src/remsp,5858
jikespg-1.3,src/partset,1336
jikespg-1.3,src/mkfirst,11028
jikespg-1.3,src/main,5207
jikespg-1.3,src/tabutil,9714
jikespg-1.3,src/timetab,7536
jpeg-6b,jcmainct,304
jpeg-6b,wrtarga,708
jpeg-6b,jdmainct,1236
jpeg-6b,jdsample,1276
jpeg-6b,jdmaster,1416
jpeg-6b,jdpostct,608
jpeg-6b,jquant1,2332
jpeg-6b,wrbmp,1824
jpeg-6b,djpeg,5423
jpeg-6b,jcinit,156
jpeg-6b,rdjpgcom,1979
jpeg-6b,rdgif,81
jpeg-6b,jfdctint,568
jpeg-6b,wrppm,462
jpeg-6b,wrjpgcom,2755
jpeg-6b,jcapistd,374
jpeg-6b,jchuff,2544
jpeg-6b,jdcolor,920
jpeg-6b,jpegtran,3312
jpeg-6b,jcparam,2516
jpeg-6b,jdmerge,1084
jpeg-6b,jddctmgr,700
jpeg-6b,ansi2knr,2012
jpeg-6b,jfdctfst,350
jpeg-6b,jccolor,1180
jpeg-6b,jdphuff,2408
jpeg-6b,jmemmgr,2350
jpeg-6b,jfdctflt,732
jpeg-6b,wrrle,0
jpeg-6b,jidctfst,688
jpeg-6b,jcmaster,2020
jpeg-6b,jdatadst,200
jpeg-6b,jutils,408
jpeg-6b,rdswitch,1548
jpeg-6b,jcprepct,1040
jpeg-6b,rdcolmap,1044
jpeg-6b,jcdctmgr,1136
jpeg-6b,jdapimin,816
jpeg-6b,jcomapi,106
jpeg-6b,rdbmp,1560
jpeg-6b,jdcoefct,2704
jpeg-6b,jerror,5386
jpeg-6b,jidctred,948
jpeg-6b,jidctint,900
jpeg-6b,cjpeg,5065
jpeg-6b,rdppm,1288
jpeg-6b,jquant2,3256
jpeg-6b,jdapistd,716
jpeg-6b,cdjpeg,92
jpeg-6b,transupp,3416
jpeg-6b,rdtarga,1352
jpeg-6b,wrgif,1708
jpeg-6b,jdhuff,2056
jpeg-6b,jctrans,1108
jpeg-6b,jdmarker,4772
jpeg-6b,jcmarker,1540
jpeg-6b,jccoefct,1444
jpeg-6b,jcsample,1580
jpeg-6b,jcapimin,600
jpeg-6b,jmemnobs,64
jpeg-6b,jidctflt,1116
jpeg-6b,jdtrans,268
jpeg-6b,jdatasrc,228
jpeg-6b,jdinput,980
jpeg-6b,jcphuff,2048
jpeg-6b,rdrle,0
libmspack,test/md5,2696
libmspack,test/cabd_md5,993
libmspack,test/cabextract_md5,17790
libmspack,test/cabrip,347
libmspack,test/chmd_md5,890
libmspack,test/cabd_test,8622
libmspack,mspack/lzxc,0
libmspack,mspack/qtmc,0
libmspack,mspack/kwajc,6
libmspack,mspack/cabc,6
libmspack,mspack/szddc,6
libmspack,mspack/cabd,4268
libmspack,mspack/hlpd,6
libmspack,mspack/litd,6
libmspack,mspack/mszipd,22
libmspack,mspack/kwajd,6
libmspack,mspack/qtmd,4012
libmspack,mspack/litc,6
libmspack,mspack/lzxd,5056
libmspack,mspack/mszipc,0
libmspack,mspack/chmd,2628
libmspack,mspack/szddd,6
libmspack,mspack/chmc,6
libmspack,mspack/system,538
libmspack,mspack/hlpc,6
libpng-1.2.5,pngtrans,1712
libpng-1.2.5,pngwrite,5161
libpng-1.2.5,pngtest,5228
libpng-1.2.5,pngerror,703
libpng-1.2.5,pngpread,5075
libpng-1.2.5,pngrutil,12891
libpng-1.2.5,pngrio,273
libpng-1.2.5,pngread,5422
libpng-1.2.5,pngrtran,14344
