size
"2",,"","","","","arm-none-eabi-gcc (GCC) 4.8.5"
"","-Os -std=gnu89 -mcpu=cortex-m0"
bzip2-1.0.2,compress,7275
bzip2-1.0.2,huffman,944
bzip2-1.0.2,blocksort,5075
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,decompress,6919
bzip2-1.0.2,bzip2,14373
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzip2recover,2985
bzip2-1.0.2,bzlib,8467
cg_compiler_opensrc,cpp,5078
cg_compiler_opensrc,parser,13479
cg_compiler_opensrc,atom,2852
cg_compiler_opensrc,constfold,3456
cg_compiler_opensrc,printutils,7867
cg_compiler_opensrc,cgstruct,92
cg_compiler_opensrc,binding,1043
cg_compiler_opensrc,symbols,4857
cg_compiler_opensrc,compile,9790
cg_compiler_opensrc,memory,354
cg_compiler_opensrc,tokenize,550
cg_compiler_opensrc,inline,2150
cg_compiler_opensrc,semantic,3486
cg_compiler_opensrc,scanner,4719
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,support,18791
cg_compiler_opensrc,check,2597
cg_compiler_opensrc,tokens,2253
cg_compiler_opensrc,cgcmain,1959
cg_compiler_opensrc,support_iter,1450
cg_compiler_opensrc,hal,1987
cg_compiler_opensrc,generic_hal,2127
compiler,main,1882
compiler,parser,3700
compiler,scanner,2911
compiler,cg,2051
compiler,vam,3222
compiler,vas,5830
flex-2.5.31,parse,7190
flex-2.5.31,skel,94034
flex-2.5.31,tables,1553
flex-2.5.31,libmain,12
flex-2.5.31,regex,427
flex-2.5.31,main,16530
flex-2.5.31,ecs,428
flex-2.5.31,scan,37864
flex-2.5.31,tblcmp,2604
flex-2.5.31,sym,707
flex-2.5.31,ccl,840
flex-2.5.31,yylex,860
flex-2.5.31,nfa,2880
flex-2.5.31,filter,1753
flex-2.5.31,buf,731
flex-2.5.31,gen,20150
flex-2.5.31,tables_shared,28
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,dfa,5406
flex-2.5.31,scanopt,2522
flex-2.5.31,misc,4422
jikespg-1.3,src/ctabs,41936
jikespg-1.3,src/main,5219
jikespg-1.3,src/mkfirst,11256
jikespg-1.3,src/mkstates,2202
jikespg-1.3,src/spacetab,15416
jikespg-1.3,src/partset,1256
jikespg-1.3,src/tabutil,9862
jikespg-1.3,src/prntstat,2588
jikespg-1.3,src/lpgparse,36669
jikespg-1.3,src/timetab,7476
jikespg-1.3,src/remsp,5810
jikespg-1.3,src/globals,268
jikespg-1.3,src/resolve,9024
jikespg-1.3,src/mkred,5360
jikespg-1.3,src/produce,8333
jikespg-1.3,src/ptables,2563
jikespg-1.3,src/lpgutil,3427
jpeg-6b,wrjpgcom,2855
jpeg-6b,jcdctmgr,1128
jpeg-6b,jddctmgr,700
jpeg-6b,jerror,5390
jpeg-6b,jdmainct,1256
jpeg-6b,jidctfst,732
jpeg-6b,jfdctfst,370
jpeg-6b,jfdctint,568
jpeg-6b,jidctint,924
