size
"2",,"","","","","arm-none-eabi-gcc (GCC) 8.2.0"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,huffman,1364
bzip2-1.0.2,decompress,9735
bzip2-1.0.2,bzip2recover,3833
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,8655
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,11471
bzip2-1.0.2,blocksort,6663
bzip2-1.0.2,bzip2,18385
cg_compiler_opensrc,support,26359
cg_compiler_opensrc,cgcmain,2539
cg_compiler_opensrc,constfold,4696
cg_compiler_opensrc,support_iter,2378
cg_compiler_opensrc,symbols,7145
cg_compiler_opensrc,printutils,10995
cg_compiler_opensrc,atom,3704
cg_compiler_opensrc,cpp,7274
cg_compiler_opensrc,compile,14462
cg_compiler_opensrc,cgstruct,136
cg_compiler_opensrc,tokens,3213
cg_compiler_opensrc,binding,1719
cg_compiler_opensrc,hal,3011
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,3709
cg_compiler_opensrc,generic_hal,2623
cg_compiler_opensrc,memory,596
cg_compiler_opensrc,tokenize,678
cg_compiler_opensrc,scanner,6735
cg_compiler_opensrc,parser,16083
cg_compiler_opensrc,semantic,4826
cg_compiler_opensrc,inline,3010
compiler,cg,3047
compiler,vam,4263
compiler,vas,6626
compiler,scanner,3643
compiler,parser,4832
compiler,main,2702
flex-2.5.31,regex,631
flex-2.5.31,yylex,1184
flex-2.5.31,skel,94034
flex-2.5.31,filter,2425
flex-2.5.31,scanopt,3838
flex-2.5.31,ccl,1192
flex-2.5.31,parse,9362
flex-2.5.31,nfa,4024
flex-2.5.31,misc,6106
flex-2.5.31,scan,46072
flex-2.5.31,dfa,7598
flex-2.5.31,tblcmp,3840
flex-2.5.31,tables,2221
flex-2.5.31,buf,1119
flex-2.5.31,ecs,580
flex-2.5.31,sym,987
flex-2.5.31,libmain,20
flex-2.5.31,tables_shared,36
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,8
flex-2.5.31,main,20266
flex-2.5.31,gen,24222
jikespg-1.3,src/mkstates,3258
jikespg-1.3,src/prntstat,3656
jikespg-1.3,src/resolve,13368
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,49468
jikespg-1.3,src/produce,11809
jikespg-1.3,src/mkred,7424
jikespg-1.3,src/ptables,3599
jikespg-1.3,src/lpgparse,47985
jikespg-1.3,src/lpgutil,5167
jikespg-1.3,src/spacetab,21652
jikespg-1.3,src/remsp,8506
jikespg-1.3,src/partset,1800
jikespg-1.3,src/mkfirst,15568
jikespg-1.3,src/main,6275
jikespg-1.3,src/tabutil,14378
jikespg-1.3,src/timetab,10528
jpeg-6b,jcmainct,480
jpeg-6b,wrtarga,1188
jpeg-6b,jdmainct,1776
jpeg-6b,jdsample,1824
jpeg-6b,jdmaster,2220
jpeg-6b,jdpostct,1036
jpeg-6b,jquant1,3260
jpeg-6b,wrbmp,3180
jpeg-6b,djpeg,6623
jpeg-6b,jcinit,224
jpeg-6b,rdjpgcom,2623
jpeg-6b,rdgif,93
jpeg-6b,jfdctint,816
jpeg-6b,wrppm,758
jpeg-6b,wrjpgcom,3759
jpeg-6b,jcapistd,644
jpeg-6b,jchuff,3976
jpeg-6b,jdcolor,1396
jpeg-6b,jpegtran,4200
jpeg-6b,jcparam,3612
jpeg-6b,jdmerge,1624
jpeg-6b,jddctmgr,932
jpeg-6b,ansi2knr,3072
jpeg-6b,jfdctfst,528
jpeg-6b,jccolor,1652
jpeg-6b,jdphuff,3400
jpeg-6b,jmemmgr,3830
jpeg-6b,jfdctflt,1160
jpeg-6b,wrrle,0
jpeg-6b,jidctfst,916
jpeg-6b,jcmaster,3208
jpeg-6b,jdatadst,356
jpeg-6b,jutils,448
jpeg-6b,rdswitch,2344
jpeg-6b,jcprepct,1536
jpeg-6b,rdcolmap,1748
jpeg-6b,jcdctmgr,1680
jpeg-6b,jdapimin,1372
jpeg-6b,jcomapi,184
jpeg-6b,rdbmp,2480
jpeg-6b,jdcoefct,3900
jpeg-6b,jerror,5634
jpeg-6b,jidctred,1348
jpeg-6b,jidctint,1316
jpeg-6b,cjpeg,6069
jpeg-6b,rdppm,2152
jpeg-6b,jquant2,4864
jpeg-6b,jdapistd,1196
jpeg-6b,cdjpeg,140
jpeg-6b,transupp,5380
jpeg-6b,rdtarga,2220
jpeg-6b,wrgif,2884
jpeg-6b,jdhuff,3036
jpeg-6b,jctrans,1612
jpeg-6b,jdmarker,7248
jpeg-6b,jcmarker,2232
jpeg-6b,jccoefct,2144
jpeg-6b,jcsample,2296
jpeg-6b,jcapimin,988
jpeg-6b,jmemnobs,72
jpeg-6b,jidctflt,1600
jpeg-6b,jdtrans,436
jpeg-6b,jdatasrc,416
jpeg-6b,jdinput,1524
jpeg-6b,jcphuff,3336
jpeg-6b,rdrle,0
libmspack,test/md5,3620
libmspack,test/cabd_md5,1345
libmspack,test/cabextract_md5,25062
libmspack,test/cabrip,535
libmspack,test/chmd_md5,1262
libmspack,test/cabd_test,10430
libmspack,mspack/lzxc,0
libmspack,mspack/qtmc,0
libmspack,mspack/kwajc,12
libmspack,mspack/cabc,12
libmspack,mspack/szddc,12
libmspack,mspack/cabd,7128
libmspack,mspack/hlpd,12
libmspack,mspack/litd,12
libmspack,mspack/mszipd,36
libmspack,mspack/kwajd,12
libmspack,mspack/qtmd,5948
libmspack,mspack/litc,12
