time
"2",,"","","","","arm-none-eabi-gcc (GCC) 6.1.0"
"","-Os -std=gnu89 -mcpu=cortex-m3"
jpeg-6b,jdatasrc,0.04,0.04,0.04
jpeg-6b,wrtarga,0.04,0.07,0.07
jpeg-6b,jcinit,0.02,0.02,0.02
jpeg-6b,jcomapi,0.03,0.03,0.03
jpeg-6b,jdatadst,0.02,0.03,0.03
jpeg-6b,jquant2,0.20,0.21,0.22
jpeg-6b,jcapimin,0.05,0.05,0.06
jpeg-6b,rdtarga,0.09,0.10,0.11
jpeg-6b,jdcoefct,0.14,0.14,0.16
jpeg-6b,jidctint,0.05,0.06,0.08
jpeg-6b,rdrle,0.01,0.02,0.03
jpeg-6b,jctrans,0.07,0.08,0.08
jpeg-6b,jidctred,0.06,0.06,0.08
jpeg-6b,jchuff,0.17,0.17,0.18
jpeg-6b,jcdctmgr,0.08,0.08,0.09
jpeg-6b,rdjpgcom,0.07,0.07,0.07
jpeg-6b,wrjpgcom,0.11,0.12,0.12
jpeg-6b,djpeg,0.10,0.10,0.11
jpeg-6b,jerror,0.03,0.04,0.05
jpeg-6b,rdcolmap,0.06,0.07,0.08
jpeg-6b,jpegtran,0.08,0.08,0.09
jpeg-6b,jcsample,0.10,0.10,0.12
jpeg-6b,jmemmgr,0.13,0.13,0.14
jpeg-6b,jdmainct,0.09,0.09,0.10
jpeg-6b,jccolor,0.08,0.10,0.10
jpeg-6b,jcphuff,0.14,0.14,0.16
jpeg-6b,jdmerge,0.08,0.08,0.09
jpeg-6b,rdswitch,0.08,0.10,0.10
jpeg-6b,jdhuff,0.12,0.13,0.14
jpeg-6b,wrrle,0.01,0.02,0.02
jpeg-6b,cdjpeg,0.02,0.03,0.04
jpeg-6b,jidctflt,0.04,0.06,0.06
jpeg-6b,jfdctfst,0.03,0.03,0.03
jpeg-6b,jutils,0.03,0.03,0.03
jpeg-6b,jdtrans,0.03,0.03,0.04
jpeg-6b,jdpostct,0.05,0.05,0.06
jpeg-6b,jidctfst,0.05,0.05,0.06
libmspack,mspack/kwajc,0.01,0.01,0.02
libmspack,mspack/mszipd,0.01,0.02,0.02
libmspack,mspack/cabd,0.21,0.22,0.24
libmspack,mspack/lzxc,0.01,0.01,0.02
libmspack,mspack/litc,0.00,0.01,0.02
libmspack,mspack/qtmc,0.00,0.01,0.01
libmspack,mspack/chmc,0.01,0.01,0.02
libmspack,mspack/kwajd,0.01,0.01,0.01
libmspack,mspack/litd,0.00,0.01,0.02
libmspack,mspack/system,0.05,0.06,0.06
libmspack,mspack/cabc,0.00,0.01,0.02
libmspack,mspack/hlpc,0.01,0.01,0.02
libmspack,mspack/lzxd,0.32,0.33,0.33
libmspack,mspack/szddd,0.01,0.01,0.02
libmspack,mspack/qtmd,0.21,0.22,0.22
libmspack,mspack/hlpd,0.00,0.01,0.01
libmspack,mspack/chmd,0.13,0.13,0.14
libmspack,mspack/mszipc,0.01,0.01,0.01
libmspack,mspack/szddc,0.01,0.02,0.02
libmspack,test/md5,0.09,0.10,0.10
libmspack,test/cabextract_md5,0.84,0.86,0.92
libmspack,test/cabd_test,0.17,0.18,0.18
libmspack,test/cabd_md5,0.03,0.06,0.06
libmspack,test/cabrip,0.03,0.04,0.04
libmspack,test/chmd_md5,0.04,0.06,0.06
libpng-1.2.5,pngwrite,0.22,0.22,0.22
libpng-1.2.5,pngrutil,0.42,0.42,0.44
libpng-1.2.5,pngpread,0.21,0.21,0.23
libpng-1.2.5,pngget,0.17,0.17,0.19
libpng-1.2.5,pngwio,0.03,0.04,0.04
libpng-1.2.5,pngwutil,0.38,0.40,0.41
libpng-1.2.5,png,0.10,0.11,0.12
libpng-1.2.5,pngtest,0.18,0.19,0.20
libpng-1.2.5,pngrtran,0.71,0.72,0.72
libpng-1.2.5,pngerror,0.07,0.07,0.08
libpng-1.2.5,pngset,0.20,0.20,0.21
libpng-1.2.5,pngmem,0.04,0.06,0.06
libpng-1.2.5,pngtrans,0.09,0.10,0.12
libpng-1.2.5,png2pnm,0.08,0.08,0.09
libpng-1.2.5,pnm2png,0.10,0.10,0.11
libpng-1.2.5,pngwtran,0.11,0.11,0.12
libpng-1.2.5,pngread,0.20,0.21,0.22
libpng-1.2.5,pngrio,0.03,0.03,0.04
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/fault,0.07,0.07,0.07
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/ioremap,0.06,0.07,0.08
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/extable,0.04,0.05,0.06
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/init,0.10,0.11,0.11
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/delay,0.03,0.04,0.04
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/strcmp,0.00,0.00,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/uaccess,0.01,0.01,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/strncpy,0.01,0.01,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/memcpy,0.00,0.00,0.00
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/misaligned,0.00,0.01,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/memset,0.00,0.00,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/checksum,0.04,0.04,0.04
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/irq,0.04,0.05,0.05
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/s390fpu,0.03,0.04,0.04
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/init_task,0.04,0.04,0.04
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/ptrace,0.09,0.09,0.10
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/head,0.00,0.00,0.00
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/sys_s390,0.06,0.07,0.08
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/bitmap,0.00,0.00,0.00
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/ebcdic,0.01,0.01,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/cpcmd,0.01,0.01,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/time,0.04,0.05,0.06
