size
"2",,"","","","","arm-none-eabi-gcc (GCC) 13.1.0"
"","-Os -std=gnu89 -mthumb -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,huffman,908
bzip2-1.0.2,decompress,6859
bzip2-1.0.2,bzip2recover,2801
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,6451
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,8391
bzip2-1.0.2,blocksort,4999
bzip2-1.0.2,bzip2,13677
cg_compiler_opensrc,support,18439
cg_compiler_opensrc,cgcmain,1959
cg_compiler_opensrc,constfold,3352
cg_compiler_opensrc,support_iter,1418
cg_compiler_opensrc,symbols,4761
cg_compiler_opensrc,printutils,7903
cg_compiler_opensrc,atom,2816
cg_compiler_opensrc,cpp,4918
cg_compiler_opensrc,compile,9598
cg_compiler_opensrc,cgstruct,76
cg_compiler_opensrc,tokens,2249
cg_compiler_opensrc,binding,1059
cg_compiler_opensrc,hal,1891
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2561
cg_compiler_opensrc,generic_hal,2111
cg_compiler_opensrc,memory,356
cg_compiler_opensrc,tokenize,546
cg_compiler_opensrc,scanner,4519
cg_compiler_opensrc,parser,13435
cg_compiler_opensrc,semantic,3482
cg_compiler_opensrc,inline,2114
compiler,cg,1999
compiler,vam,3081
compiler,vas,5582
compiler,scanner,2731
compiler,parser,3699
compiler,main,1830
flex-2.5.31,regex,419
flex-2.5.31,yylex,712
flex-2.5.31,skel,94034
flex-2.5.31,filter,1741
flex-2.5.31,scanopt,2466
flex-2.5.31,ccl,736
flex-2.5.31,parse,6777
flex-2.5.31,nfa,2848
flex-2.5.31,misc,4286
flex-2.5.31,scan,36942
flex-2.5.31,dfa,5298
flex-2.5.31,tblcmp,2560
flex-2.5.31,tables,1553
flex-2.5.31,buf,711
flex-2.5.31,ecs,412
flex-2.5.31,sym,687
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,22
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,14230
flex-2.5.31,gen,19966
jikespg-1.3,src/mkstates,2186
jikespg-1.3,src/prntstat,2476
jikespg-1.3,src/resolve,9040
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41384
jikespg-1.3,src/produce,8233
jikespg-1.3,src/mkred,5268
jikespg-1.3,src/ptables,2547
jikespg-1.3,src/lpgparse,36353
jikespg-1.3,src/lpgutil,3475
jikespg-1.3,src/spacetab,15188
jikespg-1.3,src/remsp,5846
jikespg-1.3,src/partset,1320
jikespg-1.3,src/mkfirst,11160
jikespg-1.3,src/main,5203
jikespg-1.3,src/tabutil,9814
jikespg-1.3,src/timetab,7480
jpeg-6b,jcmainct,304
jpeg-6b,wrtarga,688
jpeg-6b,jdmainct,1244
jpeg-6b,jdsample,1280
jpeg-6b,jdmaster,1396
jpeg-6b,jdpostct,612
jpeg-6b,jquant1,2328
jpeg-6b,wrbmp,1828
jpeg-6b,djpeg,5403
jpeg-6b,jcinit,156
jpeg-6b,rdjpgcom,1979
jpeg-6b,rdgif,81
jpeg-6b,jfdctint,556
jpeg-6b,wrppm,450
jpeg-6b,wrjpgcom,2747
jpeg-6b,jcapistd,368
jpeg-6b,jchuff,2488
jpeg-6b,jdcolor,944
jpeg-6b,jpegtran,3296
jpeg-6b,jcparam,2508
jpeg-6b,jdmerge,1084
jpeg-6b,jddctmgr,680
