size
"2",,"","","","","arm-none-eabi-gcc (GCC) 4.9.3"
"","-Os -std=gnu89 -mthumb -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,compress,7307
bzip2-1.0.2,huffman,968
bzip2-1.0.2,blocksort,5119
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,decompress,7019
bzip2-1.0.2,bzip2,14377
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzip2recover,2985
bzip2-1.0.2,bzlib,8543
cg_compiler_opensrc,cpp,5050
cg_compiler_opensrc,parser,13499
cg_compiler_opensrc,atom,2876
cg_compiler_opensrc,constfold,3416
cg_compiler_opensrc,printutils,7863
cg_compiler_opensrc,cgstruct,96
cg_compiler_opensrc,binding,1047
cg_compiler_opensrc,symbols,4849
cg_compiler_opensrc,compile,9822
cg_compiler_opensrc,memory,358
cg_compiler_opensrc,tokenize,550
cg_compiler_opensrc,inline,2150
cg_compiler_opensrc,semantic,3482
cg_compiler_opensrc,scanner,4711
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,support,18747
cg_compiler_opensrc,check,2605
cg_compiler_opensrc,tokens,2249
cg_compiler_opensrc,cgcmain,1971
cg_compiler_opensrc,support_iter,1450
cg_compiler_opensrc,hal,1975
cg_compiler_opensrc,generic_hal,2159
compiler,main,1882
compiler,parser,3720
compiler,scanner,2883
compiler,cg,2047
compiler,vam,3238
compiler,vas,5670
flex-2.5.31,parse,7098
flex-2.5.31,skel,94034
flex-2.5.31,tables,1545
flex-2.5.31,libmain,12
flex-2.5.31,regex,415
flex-2.5.31,main,16490
flex-2.5.31,ecs,412
flex-2.5.31,scan,37860
flex-2.5.31,tblcmp,2632
flex-2.5.31,sym,711
flex-2.5.31,ccl,840
flex-2.5.31,yylex,848
flex-2.5.31,nfa,2880
flex-2.5.31,filter,1761
flex-2.5.31,buf,739
flex-2.5.31,gen,20242
flex-2.5.31,tables_shared,26
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,dfa,5454
flex-2.5.31,scanopt,2530
flex-2.5.31,misc,4390
jikespg-1.3,src/ctabs,42044
jikespg-1.3,src/main,5231
jikespg-1.3,src/mkfirst,11372
jikespg-1.3,src/mkstates,2242
jikespg-1.3,src/spacetab,15540
jikespg-1.3,src/partset,1228
jikespg-1.3,src/tabutil,9926
jikespg-1.3,src/prntstat,2632
jikespg-1.3,src/lpgparse,37149
jikespg-1.3,src/timetab,7568
jikespg-1.3,src/remsp,5942
jikespg-1.3,src/globals,268
jikespg-1.3,src/resolve,9164
jikespg-1.3,src/mkred,5484
jikespg-1.3,src/produce,8533
jikespg-1.3,src/ptables,2627
jikespg-1.3,src/lpgutil,3483
jpeg-6b,wrjpgcom,2871
jpeg-6b,jcdctmgr,1144
jpeg-6b,jddctmgr,720
jpeg-6b,jerror,5386
jpeg-6b,jdmainct,1296
jpeg-6b,jidctfst,748
jpeg-6b,jfdctfst,380
jpeg-6b,jfdctint,628
jpeg-6b,jidctint,1016
jpeg-6b,jdmarker,4868
jpeg-6b,rdgif,81
jpeg-6b,jctrans,1124
jpeg-6b,djpeg,5451
jpeg-6b,jdapistd,730
