size
"2",,"","","","","arm-none-eabi-gcc (GCC) 8.1.0"
"","-Os -std=gnu89 -mcpu=cortex-m3"
bzip2-1.0.2,huffman,806
bzip2-1.0.2,decompress,6475
bzip2-1.0.2,bzip2recover,2801
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,5907
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,7987
bzip2-1.0.2,blocksort,4555
bzip2-1.0.2,bzip2,14229
cg_compiler_opensrc,support,17883
cg_compiler_opensrc,cgcmain,1855
cg_compiler_opensrc,constfold,3384
cg_compiler_opensrc,support_iter,1454
cg_compiler_opensrc,symbols,4857
cg_compiler_opensrc,printutils,7923
cg_compiler_opensrc,atom,2824
cg_compiler_opensrc,cpp,4854
cg_compiler_opensrc,compile,9426
cg_compiler_opensrc,cgstruct,80
cg_compiler_opensrc,tokens,2205
cg_compiler_opensrc,binding,1071
cg_compiler_opensrc,hal,1899
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2549
cg_compiler_opensrc,generic_hal,2107
cg_compiler_opensrc,memory,348
cg_compiler_opensrc,tokenize,546
cg_compiler_opensrc,scanner,4555
cg_compiler_opensrc,parser,13559
cg_compiler_opensrc,semantic,3430
cg_compiler_opensrc,inline,2106
compiler,cg,2075
compiler,vam,3165
compiler,vas,5546
compiler,scanner,2771
compiler,parser,3644
compiler,main,1882
flex-2.5.31,regex,411
flex-2.5.31,yylex,744
flex-2.5.31,skel,94034
flex-2.5.31,filter,1737
flex-2.5.31,scanopt,2474
flex-2.5.31,ccl,768
flex-2.5.31,parse,7022
flex-2.5.31,nfa,2928
flex-2.5.31,misc,4222
flex-2.5.31,scan,37120
flex-2.5.31,dfa,5178
flex-2.5.31,tblcmp,2536
flex-2.5.31,tables,1493
flex-2.5.31,buf,707
flex-2.5.31,ecs,408
flex-2.5.31,sym,683
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,20
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,15754
flex-2.5.31,gen,20030
jikespg-1.3,src/mkstates,2194
jikespg-1.3,src/prntstat,2556
jikespg-1.3,src/resolve,8880
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41608
jikespg-1.3,src/produce,7889
jikespg-1.3,src/mkred,5096
jikespg-1.3,src/ptables,2599
jikespg-1.3,src/lpgparse,35797
jikespg-1.3,src/lpgutil,3347
jikespg-1.3,src/spacetab,15024
jikespg-1.3,src/remsp,5554
jikespg-1.3,src/partset,1212
