size
"2",,"","","","","arm-none-eabi-gcc (GCC) 11.1.0"
"","-Os -std=gnu89 -mcpu=cortex-m3"
bzip2-1.0.2,huffman,886
bzip2-1.0.2,decompress,6507
bzip2-1.0.2,bzip2recover,2821
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,6143
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,7867
bzip2-1.0.2,blocksort,4603
bzip2-1.0.2,bzip2,13929
cg_compiler_opensrc,support,17919
cg_compiler_opensrc,cgcmain,1887
cg_compiler_opensrc,constfold,3372
cg_compiler_opensrc,support_iter,1466
cg_compiler_opensrc,symbols,4857
cg_compiler_opensrc,printutils,7979
cg_compiler_opensrc,atom,2828
cg_compiler_opensrc,cpp,4874
cg_compiler_opensrc,compile,9446
cg_compiler_opensrc,cgstruct,72
cg_compiler_opensrc,tokens,2209
cg_compiler_opensrc,binding,1115
cg_compiler_opensrc,hal,1899
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2529
cg_compiler_opensrc,generic_hal,2103
cg_compiler_opensrc,memory,354
cg_compiler_opensrc,tokenize,546
cg_compiler_opensrc,scanner,4555
cg_compiler_opensrc,parser,13783
cg_compiler_opensrc,semantic,3470
cg_compiler_opensrc,inline,2102
compiler,cg,2067
compiler,vam,3077
compiler,vas,5478
compiler,scanner,2727
compiler,parser,3608
compiler,main,1862
flex-2.5.31,regex,411
flex-2.5.31,yylex,780
flex-2.5.31,skel,94034
flex-2.5.31,filter,1729
flex-2.5.31,scanopt,2470
flex-2.5.31,ccl,776
flex-2.5.31,parse,6602
flex-2.5.31,nfa,2928
flex-2.5.31,misc,4330
flex-2.5.31,scan,36420
flex-2.5.31,dfa,5242
flex-2.5.31,tblcmp,2536
flex-2.5.31,tables,1493
flex-2.5.31,buf,707
flex-2.5.31,ecs,408
flex-2.5.31,sym,707
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,20
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,14294
flex-2.5.31,gen,20126
jikespg-1.3,src/mkstates,2190
jikespg-1.3,src/prntstat,2604
jikespg-1.3,src/resolve,8872
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41620
jikespg-1.3,src/produce,7905
jikespg-1.3,src/mkred,5128
jikespg-1.3,src/ptables,2611
jikespg-1.3,src/lpgparse,35749
jikespg-1.3,src/lpgutil,3435
jikespg-1.3,src/spacetab,15232
jikespg-1.3,src/remsp,5522
jikespg-1.3,src/partset,1212
jikespg-1.3,src/mkfirst,10768
jikespg-1.3,src/main,4955
jikespg-1.3,src/tabutil,9938
jikespg-1.3,src/timetab,7420
jpeg-6b,jcmainct,288
jpeg-6b,wrtarga,692
