size
"2",,"","","","","arm-none-eabi-gcc (GCC) 9.2.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
bzip2-1.0.2,huffman,916
bzip2-1.0.2,decompress,6903
bzip2-1.0.2,bzip2recover,2817
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,6431
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,8515
bzip2-1.0.2,blocksort,4979
bzip2-1.0.2,bzip2,14221
cg_compiler_opensrc,support,18607
cg_compiler_opensrc,cgcmain,1955
cg_compiler_opensrc,constfold,3340
cg_compiler_opensrc,support_iter,1454
cg_compiler_opensrc,symbols,4813
cg_compiler_opensrc,printutils,7839
cg_compiler_opensrc,atom,2828
cg_compiler_opensrc,cpp,4914
cg_compiler_opensrc,compile,9594
cg_compiler_opensrc,cgstruct,84
cg_compiler_opensrc,tokens,2237
cg_compiler_opensrc,binding,1079
cg_compiler_opensrc,hal,1955
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2577
cg_compiler_opensrc,generic_hal,2123
cg_compiler_opensrc,memory,350
cg_compiler_opensrc,tokenize,550
cg_compiler_opensrc,scanner,4519
cg_compiler_opensrc,parser,13459
cg_compiler_opensrc,semantic,3502
cg_compiler_opensrc,inline,2110
compiler,cg,2027
compiler,vam,3225
compiler,vas,5606
compiler,scanner,2755
compiler,parser,3715
compiler,main,1890
flex-2.5.31,regex,419
flex-2.5.31,yylex,728
flex-2.5.31,skel,94034
flex-2.5.31,filter,1737
flex-2.5.31,scanopt,2474
flex-2.5.31,ccl,728
flex-2.5.31,parse,7049
flex-2.5.31,nfa,2880
flex-2.5.31,misc,4262
flex-2.5.31,scan,37638
flex-2.5.31,dfa,5242
flex-2.5.31,tblcmp,2592
flex-2.5.31,tables,1493
flex-2.5.31,buf,711
flex-2.5.31,ecs,388
flex-2.5.31,sym,691
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,22
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,15762
flex-2.5.31,gen,20046
jikespg-1.3,src/mkstates,2206
jikespg-1.3,src/prntstat,2520
jikespg-1.3,src/resolve,9020
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41464
jikespg-1.3,src/produce,8173
jikespg-1.3,src/mkred,5288
jikespg-1.3,src/ptables,2551
jikespg-1.3,src/lpgparse,36213
jikespg-1.3,src/lpgutil,3399
jikespg-1.3,src/spacetab,15096
jikespg-1.3,src/remsp,5870
jikespg-1.3,src/partset,1288
jikespg-1.3,src/mkfirst,11112
jikespg-1.3,src/main,5235
jikespg-1.3,src/tabutil,9774
jikespg-1.3,src/timetab,7412
jpeg-6b,jcmainct,304
jpeg-6b,wrtarga,708
jpeg-6b,jdmainct,1244
jpeg-6b,jdsample,1272
jpeg-6b,jdmaster,1416
jpeg-6b,jdpostct,612
jpeg-6b,jquant1,2348
jpeg-6b,wrbmp,1816
jpeg-6b,djpeg,5403
jpeg-6b,jcinit,156
jpeg-6b,rdjpgcom,1987
jpeg-6b,rdgif,81
jpeg-6b,jfdctint,568
jpeg-6b,wrppm,462
jpeg-6b,wrjpgcom,2767
jpeg-6b,jcapistd,374
jpeg-6b,jchuff,2552
jpeg-6b,jdcolor,920
jpeg-6b,jpegtran,3320
jpeg-6b,jcparam,2488
jpeg-6b,jdmerge,1084
jpeg-6b,jddctmgr,696
jpeg-6b,ansi2knr,2008
jpeg-6b,jfdctfst,350
jpeg-6b,jccolor,1180
jpeg-6b,jdphuff,2420
jpeg-6b,jmemmgr,2350
jpeg-6b,jfdctflt,748
jpeg-6b,wrrle,0
jpeg-6b,jidctfst,688
jpeg-6b,jcmaster,2024
jpeg-6b,jdatadst,204
jpeg-6b,jutils,408
