size
"2",,"","","","","arm-none-eabi-gcc (GCC) 11.1.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
bzip2-1.0.2,huffman,908
bzip2-1.0.2,decompress,6811
bzip2-1.0.2,bzip2recover,2797
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,6423
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,8439
bzip2-1.0.2,blocksort,4963
bzip2-1.0.2,bzip2,13677
cg_compiler_opensrc,support,18559
cg_compiler_opensrc,cgcmain,1955
cg_compiler_opensrc,constfold,3344
cg_compiler_opensrc,support_iter,1454
cg_compiler_opensrc,symbols,4813
cg_compiler_opensrc,printutils,7875
cg_compiler_opensrc,atom,2804
cg_compiler_opensrc,cpp,4926
cg_compiler_opensrc,compile,9594
cg_compiler_opensrc,cgstruct,76
cg_compiler_opensrc,tokens,2225
cg_compiler_opensrc,binding,1059
cg_compiler_opensrc,hal,1923
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2565
cg_compiler_opensrc,generic_hal,2131
cg_compiler_opensrc,memory,350
cg_compiler_opensrc,tokenize,550
cg_compiler_opensrc,scanner,4523
cg_compiler_opensrc,parser,13439
cg_compiler_opensrc,semantic,3530
cg_compiler_opensrc,inline,2118
compiler,cg,2003
compiler,vam,3085
compiler,vas,5574
compiler,scanner,2731
compiler,parser,3695
compiler,main,1834
flex-2.5.31,regex,419
flex-2.5.31,yylex,712
flex-2.5.31,skel,94034
flex-2.5.31,filter,1753
flex-2.5.31,scanopt,2458
flex-2.5.31,ccl,740
flex-2.5.31,parse,6781
flex-2.5.31,nfa,2856
flex-2.5.31,misc,4294
flex-2.5.31,scan,36858
flex-2.5.31,dfa,5282
flex-2.5.31,tblcmp,2588
flex-2.5.31,tables,1553
flex-2.5.31,buf,711
flex-2.5.31,ecs,408
flex-2.5.31,sym,707
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,22
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,14226
flex-2.5.31,gen,19942
jikespg-1.3,src/mkstates,2202
jikespg-1.3,src/prntstat,2540
jikespg-1.3,src/resolve,8976
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41344
jikespg-1.3,src/produce,8197
jikespg-1.3,src/mkred,5280
jikespg-1.3,src/ptables,2563
jikespg-1.3,src/lpgparse,36189
jikespg-1.3,src/lpgutil,3451
jikespg-1.3,src/spacetab,15196
jikespg-1.3,src/remsp,5818
jikespg-1.3,src/partset,1304
jikespg-1.3,src/mkfirst,11192
jikespg-1.3,src/main,5223
jikespg-1.3,src/tabutil,9786
jikespg-1.3,src/timetab,7436
jpeg-6b,jcmainct,304
jpeg-6b,wrtarga,688
jpeg-6b,jdmainct,1260
jpeg-6b,jdsample,1280
jpeg-6b,jdmaster,1388
jpeg-6b,jdpostct,616
jpeg-6b,jquant1,2340
jpeg-6b,wrbmp,1816
jpeg-6b,djpeg,5403
jpeg-6b,jcinit,156
jpeg-6b,rdjpgcom,1975
jpeg-6b,rdgif,81
jpeg-6b,jfdctint,532
jpeg-6b,wrppm,450
jpeg-6b,wrjpgcom,2743
jpeg-6b,jcapistd,372
