size
"2",,"","","","","arm-none-eabi-gcc (GCC) 12.1.0"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
linux-2.4.23-pre3-testplatform,net/8021q/vlanproc,28
linux-2.4.23-pre3-testplatform,net/8021q/vlan,784
linux-2.4.23-pre3-testplatform,net/8021q/vlan_dev,4102
linux-2.4.23-pre3-testplatform,net/802/p8023,134
linux-2.4.23-pre3-testplatform,net/netlink/af_netlink,4232
linux-2.4.23-pre3-testplatform,net/ipv4/ip_sockglue,5632
linux-2.4.23-pre3-testplatform,net/ipv4/proc,2846
linux-2.4.23-pre3-testplatform,net/ipv4/inetpeer,2122
linux-2.4.23-pre3-testplatform,net/ipv4/tcp,13913
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_timer,3662
linux-2.4.23-pre3-testplatform,net/ipv4/ip_forward,508
linux-2.4.23-pre3-testplatform,net/ipv4/ip_output,4867
linux-2.4.23-pre3-testplatform,net/ipv4/ip_input,912
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_input,21495
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_ipv4,14313
linux-2.4.23-pre3-testplatform,net/ipv4/sysctl_net_ipv4,0
linux-2.4.23-pre3-testplatform,net/ipv4/route,12180
linux-2.4.23-pre3-testplatform,net/ipv4/protocol,522
linux-2.4.23-pre3-testplatform,net/ipv4/devinet,6123
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_output,9759
linux-2.4.23-pre3-testplatform,net/ipv4/udp,5892
linux-2.4.23-pre3-testplatform,net/ipv4/ip_options,3794
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_minisocks,4851
linux-2.4.23-pre3-testplatform,net/ipv4/utils,104
linux-2.4.23-pre3-testplatform,net/ipv4/igmp,11806
linux-2.4.23-pre3-testplatform,net/ipv4/arp,4992
linux-2.4.23-pre3-testplatform,net/ipv4/af_inet,5641
linux-2.4.23-pre3-testplatform,net/ipv4/ip_fragment,3305
linux-2.4.23-pre3-testplatform,net/ipv4/fib_hash,4093
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_diag,3806
linux-2.4.23-pre3-testplatform,net/ipv4/raw,3788
linux-2.4.23-pre3-testplatform,net/ipv4/fib_semantics,3754
linux-2.4.23-pre3-testplatform,net/ipv4/fib_frontend,2764
linux-2.4.23-pre3-testplatform,net/ipv4/icmp,4270
linux-2.4.23-pre3-testplatform,net/sunrpc/xprt,6266
linux-2.4.23-pre3-testplatform,net/sunrpc/timer,204
linux-2.4.23-pre3-testplatform,net/sunrpc/auth_null,332
linux-2.4.23-pre3-testplatform,net/sunrpc/sched,3951
linux-2.4.23-pre3-testplatform,net/sunrpc/sunrpc_syms,0
linux-2.4.23-pre3-testplatform,net/sunrpc/svcauth,700
linux-2.4.23-pre3-testplatform,net/sunrpc/svcsock,4521
linux-2.4.23-pre3-testplatform,net/sunrpc/xdr,2036
