size
"2",,"","","","","arm-none-eabi-gcc (GCC) 7.3.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
linux-2.4.23-pre3-testplatform,net/8021q/vlanproc,14
linux-2.4.23-pre3-testplatform,net/8021q/vlan,2030
linux-2.4.23-pre3-testplatform,net/8021q/vlan_dev,2966
linux-2.4.23-pre3-testplatform,net/802/p8023,86
linux-2.4.23-pre3-testplatform,net/netlink/af_netlink,3324
linux-2.4.23-pre3-testplatform,net/ipv4/ip_sockglue,3660
linux-2.4.23-pre3-testplatform,net/ipv4/proc,2538
linux-2.4.23-pre3-testplatform,net/ipv4/inetpeer,1402
linux-2.4.23-pre3-testplatform,net/ipv4/tcp,12669
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_timer,2838
linux-2.4.23-pre3-testplatform,net/ipv4/ip_forward,340
linux-2.4.23-pre3-testplatform,net/ipv4/ip_output,3443
linux-2.4.23-pre3-testplatform,net/ipv4/ip_input,579
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_input,16975
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_ipv4,10221
linux-2.4.23-pre3-testplatform,net/ipv4/sysctl_net_ipv4,0
linux-2.4.23-pre3-testplatform,net/ipv4/route,8016
linux-2.4.23-pre3-testplatform,net/ipv4/protocol,362
linux-2.4.23-pre3-testplatform,net/ipv4/devinet,4091
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_output,7423
linux-2.4.23-pre3-testplatform,net/ipv4/udp,4028
linux-2.4.23-pre3-testplatform,net/ipv4/ip_options,2410
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_minisocks,3275
linux-2.4.23-pre3-testplatform,net/ipv4/utils,56
linux-2.4.23-pre3-testplatform,net/ipv4/igmp,7410
linux-2.4.23-pre3-testplatform,net/ipv4/arp,3644
linux-2.4.23-pre3-testplatform,net/ipv4/af_inet,4217
linux-2.4.23-pre3-testplatform,net/ipv4/ip_fragment,2305
linux-2.4.23-pre3-testplatform,net/ipv4/fib_hash,2633
linux-2.4.23-pre3-testplatform,net/ipv4/tcp_diag,2486
linux-2.4.23-pre3-testplatform,net/ipv4/raw,2632
linux-2.4.23-pre3-testplatform,net/ipv4/fib_semantics,2362
linux-2.4.23-pre3-testplatform,net/ipv4/fib_frontend,1864
linux-2.4.23-pre3-testplatform,net/ipv4/icmp,3074
linux-2.4.23-pre3-testplatform,net/sunrpc/xprt,5161
linux-2.4.23-pre3-testplatform,net/sunrpc/timer,128
linux-2.4.23-pre3-testplatform,net/sunrpc/auth_null,276
linux-2.4.23-pre3-testplatform,net/sunrpc/sched,3424
linux-2.4.23-pre3-testplatform,net/sunrpc/sunrpc_syms,0
linux-2.4.23-pre3-testplatform,net/sunrpc/svcauth,440
linux-2.4.23-pre3-testplatform,net/sunrpc/svcsock,4100
linux-2.4.23-pre3-testplatform,net/sunrpc/xdr,1380
linux-2.4.23-pre3-testplatform,net/sunrpc/auth_unix,678
linux-2.4.23-pre3-testplatform,net/sunrpc/clnt,3476
linux-2.4.23-pre3-testplatform,net/sunrpc/pmap_clnt,609
linux-2.4.23-pre3-testplatform,net/sunrpc/auth,700
linux-2.4.23-pre3-testplatform,net/sunrpc/svc,1613
linux-2.4.23-pre3-testplatform,net/ethernet/eth,497
linux-2.4.23-pre3-testplatform,net/sched/sch_generic,1918
linux-2.4.23-pre3-testplatform,net/core/skbuff,4505
linux-2.4.23-pre3-testplatform,net/core/neighbour,5761
linux-2.4.23-pre3-testplatform,net/core/iovec,664
linux-2.4.23-pre3-testplatform,net/core/dst,604
linux-2.4.23-pre3-testplatform,net/core/dev_mcast,611
linux-2.4.23-pre3-testplatform,net/core/sock,2829
linux-2.4.23-pre3-testplatform,net/core/utils,189
linux-2.4.23-pre3-testplatform,net/core/rtnetlink,2277
linux-2.4.23-pre3-testplatform,net/core/scm,668
linux-2.4.23-pre3-testplatform,net/core/dev,7422
linux-2.4.23-pre3-testplatform,net/core/ethtool,2240
linux-2.4.23-pre3-testplatform,net/core/datagram,1459
linux-2.4.23-pre3-testplatform,kernel/timer,2093
linux-2.4.23-pre3-testplatform,kernel/printk,1512
linux-2.4.23-pre3-testplatform,kernel/info,192
linux-2.4.23-pre3-testplatform,kernel/sched,3181
linux-2.4.23-pre3-testplatform,kernel/ptrace,856
linux-2.4.23-pre3-testplatform,kernel/kmod,580
linux-2.4.23-pre3-testplatform,kernel/dma,12
linux-2.4.23-pre3-testplatform,kernel/fork,2545
linux-2.4.23-pre3-testplatform,kernel/time,1112
linux-2.4.23-pre3-testplatform,kernel/acct,6
linux-2.4.23-pre3-testplatform,kernel/context,535
linux-2.4.23-pre3-testplatform,kernel/user,164
linux-2.4.23-pre3-testplatform,kernel/exit,1763
linux-2.4.23-pre3-testplatform,kernel/capability,72
linux-2.4.23-pre3-testplatform,kernel/softirq,1506
linux-2.4.23-pre3-testplatform,kernel/sysctl,72
linux-2.4.23-pre3-testplatform,kernel/itimer,476
linux-2.4.23-pre3-testplatform,kernel/resource,857
linux-2.4.23-pre3-testplatform,kernel/exec_domain,587
linux-2.4.23-pre3-testplatform,kernel/sys,2951
linux-2.4.23-pre3-testplatform,kernel/module,739
linux-2.4.23-pre3-testplatform,kernel/signal,2683
linux-2.4.23-pre3-testplatform,kernel/panic,522
linux-2.4.23-pre3-testplatform,ipc/msg,1914
linux-2.4.23-pre3-testplatform,ipc/sem,3407
linux-2.4.23-pre3-testplatform,ipc/util,735
linux-2.4.23-pre3-testplatform,ipc/shm,2207
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/init_task,9916
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/head,2
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/sys_s390,601
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/s390fpu,16
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/entry,18
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/ptrace,1008
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/cpcmd,2
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/traps,3614
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/time,10
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/debug,2914
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/s390_ext,452
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/reipl,2
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/bitmap,3
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/ebcdic,1536
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/needed,16
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/signal,2896
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/setup,1652
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/irq,18
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/semaphore,180
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/process,839
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/fault,282
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/ioremap,543
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/init,1384
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/extable,64
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/checksum,4
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/strncpy,4
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/uaccess,12
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/delay,4
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/misaligned,132
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/strcmp,4
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/memset,4
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/memcpy,4
linux-2.4.23-pre3-testplatform,mm/mlock,936
linux-2.4.23-pre3-testplatform,mm/slab,2734
linux-2.4.23-pre3-testplatform,mm/swap,294
linux-2.4.23-pre3-testplatform,mm/shmem,4923
linux-2.4.23-pre3-testplatform,mm/swap_state,827
linux-2.4.23-pre3-testplatform,mm/oom_kill,483
linux-2.4.23-pre3-testplatform,mm/swapfile,4932
linux-2.4.23-pre3-testplatform,mm/vmalloc,1575
linux-2.4.23-pre3-testplatform,mm/mremap,1542
linux-2.4.23-pre3-testplatform,mm/vmscan,1786
linux-2.4.23-pre3-testplatform,mm/filemap,9021
linux-2.4.23-pre3-testplatform,mm/mmap,3227
linux-2.4.23-pre3-testplatform,mm/page_io,455
linux-2.4.23-pre3-testplatform,mm/page_alloc,2927
linux-2.4.23-pre3-testplatform,mm/memory,4486
linux-2.4.23-pre3-testplatform,mm/numa,880
linux-2.4.23-pre3-testplatform,mm/bootmem,1215
linux-2.4.23-pre3-testplatform,mm/mprotect,1330
linux-2.4.23-pre3-testplatform,lib/dec_and_lock,0
linux-2.4.23-pre3-testplatform,lib/rbtree,648
linux-2.4.23-pre3-testplatform,lib/dump_stack,70
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inffast,710
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inftrees,6181
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infblock,1962
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infutil,262
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infcodes,1338
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inflate,1718
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inflate_syms,0
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deflate_syms,0
