size
"2",,"","","","","arm-none-eabi-gcc (GCC) 9.2.0"
"","-Os -std=gnu89 -mcpu=cortex-m3"
bzip2-1.0.2,huffman,818
bzip2-1.0.2,decompress,6687
bzip2-1.0.2,bzip2recover,2797
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,5895
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,7979
bzip2-1.0.2,blocksort,4579
bzip2-1.0.2,bzip2,14181
cg_compiler_opensrc,support,17923
cg_compiler_opensrc,cgcmain,1879
cg_compiler_opensrc,constfold,3372
cg_compiler_opensrc,support_iter,1466
cg_compiler_opensrc,symbols,4885
cg_compiler_opensrc,printutils,7935
cg_compiler_opensrc,atom,2836
cg_compiler_opensrc,cpp,4858
cg_compiler_opensrc,compile,9446
cg_compiler_opensrc,cgstruct,80
cg_compiler_opensrc,tokens,2229
cg_compiler_opensrc,binding,1115
cg_compiler_opensrc,hal,1999
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2553
cg_compiler_opensrc,generic_hal,2103
cg_compiler_opensrc,memory,354
cg_compiler_opensrc,tokenize,546
cg_compiler_opensrc,scanner,4567
cg_compiler_opensrc,parser,13567
cg_compiler_opensrc,semantic,3454
cg_compiler_opensrc,inline,2098
compiler,cg,2087
compiler,vam,3165
compiler,vas,5546
compiler,scanner,2775
compiler,parser,3652
compiler,main,1886
flex-2.5.31,regex,411
flex-2.5.31,yylex,784
flex-2.5.31,skel,94034
flex-2.5.31,filter,1729
flex-2.5.31,scanopt,2482
flex-2.5.31,ccl,768
flex-2.5.31,parse,7082
flex-2.5.31,nfa,2940
flex-2.5.31,misc,4278
flex-2.5.31,scan,37120
flex-2.5.31,dfa,5198
flex-2.5.31,tblcmp,2556
flex-2.5.31,tables,1485
flex-2.5.31,buf,707
flex-2.5.31,ecs,416
flex-2.5.31,sym,683
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,20
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,15758
flex-2.5.31,gen,20050
jikespg-1.3,src/mkstates,2178
jikespg-1.3,src/prntstat,2568
jikespg-1.3,src/resolve,8940
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,41656
jikespg-1.3,src/produce,7909
jikespg-1.3,src/mkred,5128
jikespg-1.3,src/ptables,2599
jikespg-1.3,src/lpgparse,35805
jikespg-1.3,src/lpgutil,3387
jikespg-1.3,src/spacetab,15016
jikespg-1.3,src/remsp,5562
jikespg-1.3,src/partset,1216
jikespg-1.3,src/mkfirst,10852
jikespg-1.3,src/main,4979
jikespg-1.3,src/tabutil,9922
jikespg-1.3,src/timetab,7500
jpeg-6b,jcmainct,288
jpeg-6b,wrtarga,704
jpeg-6b,jdmainct,1128
jpeg-6b,jdsample,1208
jpeg-6b,jdmaster,1284
