size
"2",,"","","","","arm-none-eabi-gcc (GCC) 12.1.0"
"","-Os -std=gnu89 -mthumb -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,huffman,908
bzip2-1.0.2,decompress,6851
bzip2-1.0.2,bzip2recover,2837
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,6451
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,8515
bzip2-1.0.2,blocksort,5003
bzip2-1.0.2,bzip2,13689
cg_compiler_opensrc,support,18443
cg_compiler_opensrc,cgcmain,1959
cg_compiler_opensrc,constfold,3344
cg_compiler_opensrc,support_iter,1434
cg_compiler_opensrc,symbols,4749
cg_compiler_opensrc,printutils,7963
cg_compiler_opensrc,atom,2804
cg_compiler_opensrc,cpp,4906
cg_compiler_opensrc,compile,9594
cg_compiler_opensrc,cgstruct,76
cg_compiler_opensrc,tokens,2269
cg_compiler_opensrc,binding,1059
cg_compiler_opensrc,hal,1895
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,2561
cg_compiler_opensrc,generic_hal,2111
cg_compiler_opensrc,memory,384
cg_compiler_opensrc,tokenize,546
cg_compiler_opensrc,scanner,4591
cg_compiler_opensrc,parser,13435
cg_compiler_opensrc,semantic,3482
cg_compiler_opensrc,inline,2114
compiler,cg,1999
compiler,vam,3081
compiler,vas,5582
compiler,scanner,2731
compiler,parser,3699
compiler,main,1830
flex-2.5.31,regex,419
flex-2.5.31,yylex,760
flex-2.5.31,skel,94034
flex-2.5.31,filter,1741
flex-2.5.31,scanopt,2406
flex-2.5.31,ccl,736
flex-2.5.31,parse,6777
flex-2.5.31,nfa,2852
flex-2.5.31,misc,4298
flex-2.5.31,scan,36946
flex-2.5.31,dfa,5254
flex-2.5.31,tblcmp,2576
flex-2.5.31,tables,1549
flex-2.5.31,buf,711
flex-2.5.31,ecs,412
flex-2.5.31,sym,687
flex-2.5.31,libmain,12
flex-2.5.31,tables_shared,22
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,4
flex-2.5.31,main,14278
flex-2.5.31,gen,20002
jikespg-1.3,src/mkstates,2186
